CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81200400,-25.4338997893551,-49.3437087449233,2,15:12,54,81200400,-25.4338997893551,-49.3437087449233,SIM,15:29
81200400,-25.4338997893551,-49.3437087449233,2,15:30,54,81590578,-25.4926040000053,-49.2000059999854,NÃO,15:29
81590578,-25.4926040000053,-49.2000059999854,2,15:30,54,81590578,-25.4926040000053,-49.2000059999854,SIM,15:45
81590578,-25.4926040000053,-49.2000059999854,2,15:46,54,81480216,-25.5592031642591,-49.3274865425991,NÃO,15:54
81480216,-25.5592031642591,-49.3274865425991,2,15:55,54,81920500,-25.5428123134011,-49.2544219342922,NÃO,15:54
81920500,-25.5428123134011,-49.2544219342922,2,15:55,54,81920500,-25.5428123134011,-49.2544219342922,SIM,16:10
81920500,-25.5428123134011,-49.2544219342922,2,16:11,54,80710040,-25.4214634286453,-49.3044615715174,NÃO,16:21
80710040,-25.4214634286453,-49.3044615715174,2,16:22,54,81570360,-25.4857325221308,-49.2299521315212,NÃO,16:21
81570360,-25.4857325221308,-49.2299521315212,2,16:22,54,81570360,-25.4857325221308,-49.2299521315212,SIM,16:31
81570360,-25.4857325221308,-49.2299521315212,2,16:32,54,80730270,-25.4395442941516,-49.3020722939492,NÃO,16:33
80730270,-25.4395442941516,-49.3020722939492,2,16:34,54,80710600,-25.4224698510365,-49.3006978054742,NÃO,16:33
80710600,-25.4224698510365,-49.3006978054742,2,16:34,54,80710600,-25.4224698510365,-49.3006978054742,SIM,16:50
80710600,-25.4224698510365,-49.3006978054742,2,16:51,54,81940210,-25.5603014782721,-49.2872240368535,NÃO,16:57
81940210,-25.5603014782721,-49.2872240368535,2,16:58,54,81490562,-25.6007006282316,-49.3302336035246,NÃO,16:57
81490562,-25.6007006282316,-49.3302336035246,2,16:58,54,81490562,-25.6007006282316,-49.3302336035246,SIM,17:10
81490562,-25.6007006282316,-49.3302336035246,2,17:11,54,81450520,-25.4951670667098,-49.3442928001987,NÃO,17:11
81450520,-25.4951670667098,-49.3442928001987,2,17:12,54,81450195,-25.4997584943394,-49.3532384355102,NÃO,17:24
81450195,-25.4997584943394,-49.3532384355102,2,17:25,54,80510360,-25.4193944591681,-49.2858097118247,NÃO,17:24
80510360,-25.4193944591681,-49.2858097118247,2,17:25,54,80510360,-25.4193944591681,-49.2858097118247,SIM,17:36
80510360,-25.4193944591681,-49.2858097118247,2,17:37,54,81580179,-25.4968867857253,-49.2235692856984,NÃO,17:36
81580179,-25.4968867857253,-49.2235692856984,2,17:37,54,81650170,-25.4968831947737,-49.2251870078443,NÃO,17:50
81650170,-25.4968831947737,-49.2251870078443,2,17:51,54,81260470,-25.4878793333939,-49.3499858333103,NÃO,17:50
81260470,-25.4878793333939,-49.3499858333103,2,17:51,54,81260470,-25.4878793333939,-49.3499858333103,SIM,17:57
81260470,-25.4878793333939,-49.3499858333103,2,17:58,54,81110330,-25.5042910428287,-49.2847716627966,NÃO,18:03
81110330,-25.5042910428287,-49.2847716627966,2,18:04,54,80310110,-25.4618760201347,-49.3131981040754,NÃO,18:12
80310110,-25.4618760201347,-49.3131981040754,2,18:13,54,80520550,-25.403621771614,-49.2770964271839,NÃO,18:15
80520550,-25.403621771614,-49.2770964271839,2,18:16,54,82130162,-25.3808898753791,-49.2691345002354,NÃO,18:16
82130162,-25.3808898753791,-49.2691345002354,2,18:17,54,82130470,-25.3763584193723,-49.2754817420857,NÃO,18:16
82130470,-25.3763584193723,-49.2754817420857,2,18:17,54,82130470,-25.3763584193723,-49.2754817420857,SIM,18:26
82130470,-25.3763584193723,-49.2754817420857,2,18:27,54,82315390,-25.4096763580765,-49.3604395248946,NÃO,18:33
82315390,-25.4096763580765,-49.3604395248946,2,18:34,54,81220090,-25.4539760939031,-49.3149024143145,NÃO,18:33
81220090,-25.4539760939031,-49.3149024143145,2,18:34,54,81220090,-25.4539760939031,-49.3149024143145,SIM,18:45
81220090,-25.4539760939031,-49.3149024143145,2,18:46,54,81560250,-25.4891353622078,-49.2181798796427,NÃO,18:48
81560250,-25.4891353622078,-49.2181798796427,2,18:49,54,81570092,-25.47733771481,-49.2394309559741,NÃO,18:48
81570092,-25.47733771481,-49.2394309559741,2,18:49,54,81570092,-25.47733771481,-49.2394309559741,SIM,06:12
81570092,-25.47733771481,-49.2394309559741,3,06:13,54,82860360,-25.3827108510463,-49.1953359321141,NÃO,06:22
82860360,-25.3827108510463,-49.1953359321141,3,06:23,54,80010040,-25.433306347953,-49.2586024190518,NÃO,06:22
80010040,-25.433306347953,-49.2586024190518,3,06:23,54,80060040,-25.4318069334388,-49.263280830672,NÃO,06:24
80060040,-25.4318069334388,-49.263280830672,3,06:25,54,80250220,-25.4401651682037,-49.2778677639266,NÃO,06:24
80250220,-25.4401651682037,-49.2778677639266,3,06:25,54,80250220,-25.4401651682037,-49.2778677639266,SIM,06:35
80250220,-25.4401651682037,-49.2778677639266,3,06:36,54,81265330,-25.4702238422545,-49.3713250851996,NÃO,06:41
81265330,-25.4702238422545,-49.3713250851996,3,06:42,54,82310380,-25.4271679351543,-49.3574755107166,NÃO,06:49
82310380,-25.4271679351543,-49.3574755107166,3,06:50,54,81250482,-25.4865966553425,-49.3378683447999,NÃO,06:49
81250482,-25.4865966553425,-49.3378683447999,3,06:50,54,81250482,-25.4865966553425,-49.3378683447999,SIM,06:54
81250482,-25.4865966553425,-49.3378683447999,3,06:55,54,81130270,-25.5076616583274,-49.3009496047833,NÃO,06:57
81130270,-25.5076616583274,-49.3009496047833,3,06:58,54,81830020,-25.5125646322447,-49.2675350633395,NÃO,07:01
81830020,-25.5125646322447,-49.2675350633395,3,07:02,54,81150120,-25.5170223068465,-49.3040621642926,NÃO,07:08
81150120,-25.5170223068465,-49.3040621642926,3,07:09,54,81935303,-25.5548054287395,-49.2658406002244,NÃO,07:09
81935303,-25.5548054287395,-49.2658406002244,3,07:10,54,81935382,-25.5594363219748,-49.2516978436888,NÃO,07:09
81935382,-25.5594363219748,-49.2516978436888,3,07:10,54,81935382,-25.5594363219748,-49.2516978436888,SIM,07:19
81935382,-25.5594363219748,-49.2516978436888,3,07:20,54,81490280,-25.5975675014877,-49.3235433911466,NÃO,07:21
81490280,-25.5975675014877,-49.3235433911466,3,07:22,54,81490620,-25.6132684714507,-49.3349370738516,NÃO,07:36
81490620,-25.6132684714507,-49.3349370738516,3,07:37,54,81350686,-25.4936598469491,-49.3400481020638,NÃO,07:36
81350686,-25.4936598469491,-49.3400481020638,3,07:37,54,81350686,-25.4936598469491,-49.3400481020638,SIM,07:43
81350686,-25.4936598469491,-49.3400481020638,3,07:44,54,80240660,-25.4542530556284,-49.2916382221557,NÃO,07:49
80240660,-25.4542530556284,-49.2916382221557,3,07:50,54,80820350,-25.4104868271504,-49.2948596739003,NÃO,07:56
80820350,-25.4104868271504,-49.2948596739003,3,07:57,54,82520040,-25.413549500017,-49.2301156541579,NÃO,07:56
82520040,-25.413549500017,-49.2301156541579,3,07:57,54,82520040,-25.413549500017,-49.2301156541579,SIM,08:04
82520040,-25.413549500017,-49.2301156541579,3,08:05,54,82710330,-25.3530998572423,-49.2583428932106,NÃO,08:08
